frame_stamp,node,latency_ms
1774797665.395943597,pointcloud_player,0.958
1774797665.395943597,cluster_detector,5.609
1774797665.491725850,pointcloud_player,1.147
1774797665.491725850,cluster_detector,4.863
1774797665.591438769,pointcloud_player,0.863
1774797665.395943597,bev_projection,200.582
1774797665.591438769,cluster_detector,14.568
1774797665.691730349,pointcloud_player,1.051
1774797665.691730349,cluster_detector,5.435
1774797665.491725850,bev_projection,275.038
1774797665.791508069,pointcloud_player,0.760
1774797665.791508069,cluster_detector,3.618
1774797665.891400592,pointcloud_player,0.779
1774797665.891400592,cluster_detector,3.843
1774797665.591438769,bev_projection,341.721
1774797665.991656803,pointcloud_player,0.881
1774797665.991656803,cluster_detector,8.699
1774797666.091439485,pointcloud_player,0.758
1774797665.691730349,bev_projection,403.149
1774797666.091439485,cluster_detector,12.168
1774797666.191582826,pointcloud_player,0.767
1774797666.191582826,cluster_detector,18.561
1774797665.791508069,bev_projection,470.014
1774797666.291576311,pointcloud_player,0.868
1774797666.291576311,cluster_detector,4.512
1774797666.391745188,pointcloud_player,0.807
1774797666.391745188,cluster_detector,3.710
1774797665.891400592,bev_projection,532.793
1774797666.491572292,pointcloud_player,0.779
1774797666.491572292,cluster_detector,3.491
1774797665.991656803,bev_projection,596.397
1774797666.591517003,pointcloud_player,1.394
1774797666.591517003,cluster_detector,12.663
1774797666.691556528,pointcloud_player,0.922
1774797666.691556528,cluster_detector,4.371
1774797666.091439485,bev_projection,664.797
1774797666.791450382,pointcloud_player,0.980
1774797666.791450382,cluster_detector,5.366
1774797666.891560572,pointcloud_player,0.781
1774797666.891560572,cluster_detector,3.973
1774797666.191582826,bev_projection,730.389
1774797666.991734690,pointcloud_player,0.844
1774797666.991734690,cluster_detector,2.458
1774797666.291576311,bev_projection,795.340
1774797667.091552616,pointcloud_player,0.724
1774797667.091552616,cluster_detector,9.915
1774797667.191750111,pointcloud_player,0.910
1774797667.191750111,cluster_detector,4.459
1774797666.391745188,bev_projection,858.840
1774797667.291569355,pointcloud_player,0.694
1774797667.291569355,cluster_detector,2.445
1774797667.391704973,pointcloud_player,0.980
1774797667.391704973,cluster_detector,3.703
1774797666.491572292,bev_projection,943.442
1774797667.491842188,pointcloud_player,0.752
1774797667.491842188,cluster_detector,2.540
1774797667.591482706,pointcloud_player,0.864
1774797667.591482706,cluster_detector,4.735
1774797666.591517003,bev_projection,1016.522
1774797667.691526443,pointcloud_player,0.968
1774797667.691526443,cluster_detector,4.319
1774797666.691556528,bev_projection,1071.389
1774797667.791596149,pointcloud_player,1.013
1774797667.791596149,cluster_detector,4.760
1774797667.891671929,pointcloud_player,0.942
1774797667.891671929,cluster_detector,4.521
1774797666.791450382,bev_projection,1135.205
1774797667.991580390,pointcloud_player,1.246
1774797667.991580390,cluster_detector,3.855
1774797666.991734690,bev_projection,1099.582
1774797668.091498464,pointcloud_player,4.403
1774797668.091498464,cluster_detector,11.044
1774797668.191612779,pointcloud_player,0.965
1774797668.191612779,cluster_detector,4.215
1774797667.091552616,bev_projection,1164.346
1774797668.291617235,pointcloud_player,1.010
1774797668.291617235,cluster_detector,4.358
1774797668.391561770,pointcloud_player,0.965
1774797668.391561770,cluster_detector,4.153
1774797667.291569355,bev_projection,1128.126
1774797668.491542645,pointcloud_player,0.791
1774797668.491542645,cluster_detector,4.358
1774797667.491842188,bev_projection,1093.587
1774797668.591495471,pointcloud_player,0.656
1774797668.591495471,cluster_detector,8.589
1774797668.691378224,pointcloud_player,0.801
1774797668.691378224,cluster_detector,4.198
1774797667.591482706,bev_projection,1159.630
1774797668.791467644,pointcloud_player,0.817
1774797668.791467644,cluster_detector,4.258
1774797668.891707108,pointcloud_player,0.987
1774797668.891707108,cluster_detector,5.276
1774797667.791596149,bev_projection,1123.265
1774797668.991793263,pointcloud_player,1.126
1774797668.991793263,cluster_detector,4.572
1774797667.991580390,bev_projection,1085.175
1774797669.091507295,pointcloud_player,0.698
1774797669.091507295,cluster_detector,4.827
1774797669.191606999,pointcloud_player,1.240
1774797669.191606999,cluster_detector,4.316
1774797668.091498464,bev_projection,1144.027
